CD20	CD24	CD27	CD38	IgD	id
145	3265	1394	1	2431	1871	2
148	1580	315	1189	2210	1680	1
149	928	324	632	2804	1561	1
151	1632	364	486	2773	1222	1
153	1596	687	1222	2744	1495	1
154	2977	1768	114	2324	1374	2
155	1287	580	580	3102	1608	1
162	3081	1728	1	753	1549	2
163	977	499	468	2675	1512	1
167	3406	1176	1	2271	1695	2
168	1420	553	895	2867	1619	1
172	1387	377	861	2537	1464	1
173	938	704	495	2648	1587	1
175	1729	468	571	2918	1611	1
183	1239	445	1948	1732	1305	1
184	1407	459	840	2588	1686	1
185	679	584	641	2410	928	1
187	1640	459	118	2881	1394	1
189	1045	557	741	1450	1601	1
190	1197	557	580	1274	1632	1
192	1395	675	272	2933	1405	1
193	1663	477	795	2301	1503	1
199	1346	540	445	3070	1370	1
200	1333	499	1258	2858	1414	1
201	2950	1513	875	2370	1717	2
202	1439	623	602	2656	1488	1
207	1405	760	1255	2343	1938	1
208	1300	517	606	1971	1522	1
209	3039	1226	142	1199	1395	2
210	1743	557	2248	3050	1413	1
211	2892	1410	4	1896	1634	2
213	1026	760	575	2256	1287	1
214	1344	535	517	2181	1459	1
216	2903	1300	1	2278	1659	2
218	2940	1499	306	2329	1527	2
221	3248	1592	1	2282	1901	2
222	1007	584	843	2389	1559	1
223	1408	615	2474	2940	1491	1
224	2939	953	199	1979	1231	2
225	3298	1339	1	2092	1453	2
226	1718	386	636	3183	1556	1
227	959	671	724	2636	1699	1
228	772	242	1434	2394	1274	1
229	1552	580	975	2484	1387	1
230	868	683	791	1667	1502	1
231	3059	1790	1	1840	1509	2
232	1509	364	463	2493	1282	1
234	1631	427	445	3162	1396	1
235	195	311	1836	3030	1466	1
236	1032	454	517	2621	1395	1
238	892	440	941	2518	1532	1
239	1327	544	1503	2713	1467	1
240	989	597	623	2471	1115	1
241	977	302	400	2111	1361	1
243	1550	409	553	2117	1617	1
247	1021	662	422	2500	1276	1
251	1622	351	687	2426	1231	1
253	1286	628	513	2413	1670	1
254	1258	566	692	2401	1412	1
258	1616	454	832	2435	1575	1
259	1569	540	575	2903	1361	1
261	1316	409	409	3144	1656	1
262	1527	495	1055	2594	1553	1
263	1655	364	83	3182	1601	1
264	1244	517	645	2091	1600	1
265	918	449	588	1804	1349	1
267	3212	1607	1	2195	1740	2
268	1209	829	733	2743	1599	1
269	1032	606	741	3051	1395	1
270	2185	1300	522	1557	1673	2
274	3274	1034	1	1086	2116	2
276	1251	632	662	2174	1428	1
278	1568	632	427	1906	1512	1
283	3367	1905	158	2291	1890	2
284	3157	1592	351	2167	1736	2
288	1096	658	584	1840	1415	1
291	928	679	683	1923	1514	1
292	1220	364	2190	2924	1402	1
296	1140	490	753	1803	1497	1
297	3203	1686	1	2405	1504	2
299	776	499	504	1941	1438	1
303	3139	882	259	1731	1783	2
308	3089	1530	850	2291	1594	2
310	1151	259	531	2060	1577	1
312	2869	1414	170	2121	1563	2
315	1486	654	821	3046	1461	1
316	2993	1294	1	1676	1395	2
318	795	431	658	2533	1430	1
319	1395	588	928	2831	1652	1
323	843	449	1830	2338	1091	1
324	1339	679	619	2587	1495	1
325	1248	289	889	2897	1561	1
327	1076	610	1370	2519	1292	1
330	1093	431	615	2322	1093	1
331	784	632	588	2639	1478	1
332	2890	1563	575	2031	1707	2
334	1269	463	645	2825	1546	1
336	1428	535	708	2819	1337	1
337	2843	998	293	1744	1605	2
339	925	580	395	2461	1498	1
341	2421	1162	289	1580	1467	2
343	1608	413	342	2630	1340	1
345	1195	610	868	2480	1269	1
346	1540	404	531	3286	1425	1
347	3629	610	1	1282	1753	2
349	953	513	741	1832	1591	1
350	1251	566	810	2337	1523	1
352	1564	445	649	2682	1614	1
355	1299	490	436	2222	1761	1
357	1124	696	355	1769	1544	1
358	1325	632	986	2512	1600	1
364	675	628	431	1821	1436	1
369	1201	636	850	2513	1557	1
372	1295	741	641	2332	1558	1
373	1267	445	623	2748	1514	1
374	1563	440	1986	3109	1495	1
375	864	293	508	2832	1564	1
378	3171	1509	1	2245	1739	2
379	1370	692	606	2733	1548	1
380	2340	1160	531	1833	1519	2
381	1181	449	468	2321	1754	1
383	1576	687	580	3450	1295	1
385	2863	544	1	1976	1510	2
386	1195	549	905	2644	1545	1
389	1239	610	772	3123	1594	1
391	1603	795	60	3085	1426	1
392	1264	436	593	2503	1138	1
393	1800	610	158	2980	1337	1
394	3296	391	1	2253	1474	2
395	1220	522	882	2312	1534	1
397	1331	504	1042	2906	1661	1
398	2645	1115	342	2039	1502	2
403	2884	1203	1	675	1516	2
404	1108	720	645	2617	1591	1
405	1563	716	1205	2581	1404	1
406	847	472	1782	2286	1536	1
408	1562	649	413	2310	1480	1
409	1471	454	422	2576	1393	1
412	1229	549	2395	2751	1357	1
413	1034	615	79	3029	1539	1
417	3211	1026	409	1896	1908	2
418	1168	468	623	2641	1417	1
419	2814	1577	575	2147	1751	2
420	1135	871	1537	2365	1485	1
422	1639	566	875	2943	1361	1
424	1712	440	486	2721	1520	1
425	776	431	632	2764	1507	1
426	1754	526	2685	2874	1292	1
427	1548	459	373	2979	1347	1
429	1352	499	814	2884	1492	1
439	1195	468	615	2409	1648	1
443	1597	571	571	2938	1727	1
444	1133	440	526	1418	1474	1
446	1299	413	847	2536	1235	1
447	1212	784	610	1842	1474	1
448	1688	662	2262	2701	1444	1
449	1042	306	597	2415	1422	1
450	3228	1066	1	1661	1775	2
451	1255	395	692	2490	1248	1
454	1269	683	449	2788	1451	1
456	3006	1688	118	2038	1618	2
461	1486	671	333	2737	1360	1
464	1528	902	928	2264	1684	1
465	1133	337	619	2145	1613	1
466	918	293	2692	2093	1246	1
469	1040	675	1258	2263	1457	1
470	1144	481	720	2930	1390	1
471	3146	1110	170	2061	1237	2
472	1445	445	254	2770	1468	1
473	2936	1558	320	1879	1516	2
474	1480	522	810	2654	1386	1
475	1729	158	382	2868	1517	1
477	1689	632	436	3103	1507	1
479	1583	636	311	2124	1346	1
480	1207	513	208	2457	1489	1
481	3083	1576	320	2263	1652	2
482	1972	575	2549	2353	1394	1
483	1091	836	364	2290	1479	1
484	1623	610	449	3087	1536	1
487	1458	806	780	1745	1557	1
489	1029	628	871	2418	1742	1
490	3273	1363	1	2060	1665	2
491	854	486	531	2807	1284	1
493	2801	1279	272	1775	1711	2
497	806	490	623	2813	1199	1
498	3171	1930	1	2253	1115	2
500	1149	517	454	2754	1302	1
501	1456	459	427	2986	1399	1
504	764	531	753	2075	1540	1
505	1686	636	606	3003	1226	1
506	1375	836	1454	2012	1550	1
510	1172	756	544	2604	1405	1
512	1374	623	575	2820	1482	1
519	1249	566	431	3025	1668	1
521	1367	588	905	2719	1644	1
522	1462	409	2610	2456	1374	1
526	3337	1058	1	413	1938	2
527	1333	696	780	2578	1413	1
530	2822	1229	486	2014	1627	2
531	1514	666	679	2696	1494	1
536	3135	1425	449	2150	1545	2
538	1147	580	610	2681	1546	1
539	1364	540	700	2983	1456	1
540	1021	513	708	1402	1415	1
541	1321	337	1303	2122	1481	1
542	1276	654	557	2727	1257	1
545	641	531	490	2746	1359	1
546	3066	1012	1	1882	1880	2
548	1498	628	803	2376	1730	1
551	1284	733	944	2988	1407	1
552	1086	499	597	2844	1324	1
553	1776	459	499	2685	1383	1
554	1437	427	1352	2934	1554	1
556	745	799	504	2903	1653	1
558	1071	463	1423	3113	1463	1
559	1197	463	391	3020	1533	1
560	803	490	436	2398	1493	1
561	889	409	814	1648	1479	1
563	1543	263	517	2465	1552	1
564	1493	400	531	2778	1491	1
566	1725	504	440	3333	1412	1
568	1632	377	486	1838	1474	1
569	1378	645	531	3166	1187	1
570	1594	760	588	2328	1695	1
573	1598	799	1437	1998	1544	1
574	1026	662	814	3092	1303	1
575	1585	557	87	2993	1722	1
576	1131	549	641	2759	1408	1
577	741	436	745	2651	1450	1
578	1373	658	662	2087	1471	1
581	1321	468	522	2715	1536	1
583	2634	1698	409	1710	1768	2
585	1356	311	531	2615	1233	1
587	1144	708	795	2230	1168	1
588	1618	580	902	2953	1500	1
589	1650	671	289	2850	1299	1
590	829	400	580	2952	925	1
592	3263	912	293	1806	1762	2
595	1344	875	768	1800	1848	1
598	3271	1242	208	2100	1777	2
600	1317	562	756	2210	1513	1
601	3316	2270	289	1802	1473	2
602	2731	1450	1	1920	1045	2
605	1366	610	623	2500	1286	1
607	3281	1674	580	2307	1664	2
609	1599	654	440	2709	1868	1
611	1081	575	562	2073	1563	1
613	1582	364	481	3025	1548	1
614	1480	925	944	2105	1831	1
615	1538	745	1063	2877	1593	1
619	1543	675	449	3150	1480	1
623	1367	825	259	3061	1577	1
626	1119	704	324	2400	1210	1
627	3039	1518	166	2425	1617	2
631	1544	526	745	2907	1375	1
635	1317	810	1537	2757	1522	1
636	1448	878	712	2869	1630	1
637	989	580	333	2662	1530	1
638	1292	440	571	2142	1496	1
640	1144	776	1073	2872	1488	1
641	1542	549	628	2887	1521	1
645	1289	641	818	2731	1668	1
647	1519	597	708	2193	1626	1
648	1214	566	749	2741	1367	1
649	2825	1485	187	2075	1908	2
650	3058	836	1	1889	1856	2
651	1472	645	1488	2839	1404	1
655	3215	716	250	1289	1582	2
663	2484	1800	337	2082	1774	2
664	760	692	724	2888	1395	1
665	1709	346	645	2909	1409	1
668	1604	522	1766	3326	1374	1
670	1224	436	704	2845	1311	1
673	1366	254	549	2248	1262	1
674	1432	382	436	2626	1086	1
675	1514	741	934	3110	1548	1
679	1076	745	216	2909	1174	1
681	1352	337	980	2783	1631	1
685	1126	675	418	1446	1462	1
687	1098	553	445	3060	1528	1
688	1711	413	795	2994	1374	1
690	847	687	2098	1975	1649	1
691	1007	692	1053	2293	1463	1
692	3245	549	1	2046	1525	2
695	3050	1350	1	2327	1846	2
698	3271	1048	1	2134	1513	2
701	3156	1724	237	1666	1379	2
706	3247	745	1	2394	1659	2
708	597	472	915	2936	1657	1
709	1207	436	540	2415	1231	1
710	3212	1557	272	2063	1785	2
711	3087	1396	825	2177	1639	2
712	3113	1325	1	2397	1558	2
713	1260	368	610	2480	1434	1
716	1162	562	1549	1997	1600	1
719	1286	413	311	1863	1531	1
720	1703	832	449	3114	1578	1
721	3579	2059	1	1174	2060	2
723	1042	553	1147	2656	1203	1
724	1448	868	799	2706	1709	1
725	1181	549	2691	2954	1337	1
726	3183	1347	1	1895	1848	2
732	1685	623	597	2857	1654	1
734	1686	522	522	2461	1499	1
735	2919	1201	1	2039	1668	2
736	1270	472	628	2447	1625	1
737	2833	1483	508	2093	1761	2
738	3199	1018	212	2065	1646	2
742	3037	1308	158	1881	1240	2
743	944	477	829	2370	1493	1
745	1103	468	1442	2570	1352	1
746	825	602	513	2372	1424	1
748	1344	522	2011	2452	1514	1
751	2673	832	259	1916	1255	2
753	1405	810	1385	2351	1772	1
754	1124	272	2716	1443	1153	1
755	1353	463	477	2827	1506	1
756	821	602	1483	2534	1396	1
757	3281	2023	1	2011	1775	2
761	1564	692	602	2400	1586	1
766	1611	459	445	3133	1299	1
767	1647	413	814	2738	1596	1
768	3468	1657	1	2136	2028	2
769	1540	632	700	3234	1502	1
770	1294	636	298	2767	1352	1
771	2537	1333	477	1787	1548	2
772	878	557	468	2607	1229	1
774	875	562	861	2610	1651	1
775	1340	776	306	1980	1609	1
777	1677	553	373	2949	1383	1
779	3589	2041	1	1819	1930	2
782	1071	645	959	2398	1749	1
784	3239	2125	30	795	1772	2
786	1197	404	342	2638	1511	1
787	1760	531	436	3145	1242	1
789	1580	220	2531	1547	1436	1
790	1302	409	454	2732	1478	1
791	3233	1418	1	2113	1834	2
792	1569	557	737	3412	1508	1
796	947	436	517	2153	1410	1
798	1178	575	490	1928	1363	1
799	2799	1026	158	1914	1557	2
800	3187	1374	91	2032	1753	2
801	1508	508	692	2527	1415	1
803	1193	427	2353	2666	1390	1
805	1468	535	562	2821	1613	1
806	3064	1492	208	2222	1488	2
809	1078	472	645	2534	1587	1
810	1007	597	662	2766	1462	1
812	3226	2418	486	1436	1562	2
815	3271	632	1	1981	1467	2
816	1322	566	540	2276	1649	1
818	1418	666	395	2313	1505	1
821	1193	531	760	2469	1108	1
822	1525	481	683	2224	1473	1
825	1264	683	2605	2383	1648	1
826	1276	776	628	2231	1488	1
827	3240	1255	580	1990	1678	2
828	1216	368	400	2555	1614	1
832	658	544	615	3041	1337	1
833	3326	1029	1	2161	1224	2
835	3169	2169	142	1778	1796	2
836	1218	526	768	1319	1622	1
837	3147	922	1	1770	1570	2
840	1387	413	404	2738	1582	1
841	1423	445	636	2770	1426	1
843	1201	588	1001	2347	1239	1
847	3016	1580	1	1654	2294	2
849	1170	615	386	2813	1319	1
850	1313	632	654	3115	1500	1
853	1142	606	662	2730	1314	1
854	1468	632	700	2766	1337	1
855	3162	1512	162	1953	1778	2
856	1307	242	934	2978	1457	1
861	1058	212	2578	2564	1519	1
862	1235	636	427	1473	1541	1
866	3234	1101	1	1954	1757	2
867	1661	526	2518	3153	1526	1
870	1704	306	191	2697	1466	1
871	3251	1528	259	1688	1896	2
872	2616	1325	342	1776	1548	2
874	1233	597	712	2904	1448	1
877	1133	490	1209	3090	1569	1
882	1517	575	463	2395	1516	1
883	1098	413	351	2764	1475	1
884	1101	413	549	2148	1405	1
885	1630	575	1151	2505	1628	1
886	1398	584	364	2975	1210	1
887	2642	1387	195	1978	1707	2
888	986	712	212	3222	1586	1
891	1307	658	818	2663	1422	1
892	3131	1506	1	1861	1880	2
894	3333	821	1	1842	1436	2
895	1042	619	821	2582	1731	1
896	610	737	549	1731	1573	1
898	1300	593	623	2369	1654	1
901	1716	445	324	3131	1350	1
902	3374	708	1	580	1071	2
904	2883	925	114	1517	1257	2
905	3332	1842	508	2185	1678	2
906	1700	517	346	3010	1231	1
907	1536	463	285	2742	1697	1
908	2985	1307	1	2156	1596	2
909	1561	418	2370	2777	1593	1
911	1574	422	544	2788	1373	1
914	3047	1248	71	1302	1467	2
915	1656	409	857	3075	1605	1
916	2631	628	95	1366	1164	2
917	944	784	623	2098	1462	1
918	902	454	861	2542	1330	1
920	3117	1405	400	1859	2067	2
922	3136	1160	1	1507	1347	2
924	972	360	696	2000	1281	1
928	1418	724	918	2852	1985	1
929	977	636	549	1900	1523	1
931	2771	885	199	1914	1482	2
932	1381	776	1042	2315	1739	1
933	1209	436	575	2205	1327	1
935	1655	472	298	2758	1408	1
936	1324	486	531	2631	1675	1
939	1657	606	632	3198	1722	1
940	850	597	1837	2012	1552	1
944	1689	468	704	3060	1387	1
946	922	454	1216	2630	1272	1
947	795	868	712	3004	1654	1
950	1083	445	1412	2616	1443	1
951	3454	440	1	1310	1748	2
953	1282	628	724	1965	1352	1
954	2925	1952	729	2280	1967	2
960	1495	544	925	2621	1403	1
964	1042	623	490	2804	1431	1
965	2986	1853	1	1959	1976	2
967	803	368	468	1979	1517	1
968	2913	1222	1	2076	1422	2
969	1007	400	409	1476	1607	1
970	3170	1117	242	2230	1667	2
973	1203	854	818	2484	1520	1
974	3050	1666	373	2322	1569	2
979	2608	1725	1	2252	1444	2
981	2944	909	68	1974	1996	2
982	3082	1748	1	2230	1407	2
983	1004	427	531	2266	1444	1
985	1488	422	513	2870	1347	1
986	1587	768	486	2198	1685	1
989	1229	499	400	2512	1430	1
990	1550	427	843	3192	1368	1
991	3283	1875	1	391	1683	2
992	1590	409	504	2900	1385	1
993	1032	1155	772	2339	1398	1
995	1578	602	687	3034	1253	1
997	1015	504	544	1913	1622	1
998	2838	760	1	2113	1482	2
1000	3191	2096	1	2345	1793	2
1002	1636	422	517	2933	1201	1
1005	3376	1589	741	2585	2006	2
1009	3033	1444	1	2326	1846	2
1011	3358	818	1	1978	1631	2
1012	2984	1253	472	2034	1674	2
1013	3080	1405	225	2213	1624	2
1014	2954	1450	806	2308	1566	2
1015	3121	1719	285	2042	1407	2
1017	1166	391	517	2252	1395	1
1019	1155	549	675	3147	1248	1
1021	1201	540	776	2175	1537	1
1022	3302	342	154	2055	1788	2
1026	3083	2045	1	882	1492	2
1027	1544	836	658	2355	1284	1
1028	1253	418	619	3220	1334	1
1029	1514	531	1552	2704	1670	1
1030	1404	436	377	2492	1517	1
1032	1484	602	636	3088	1419	1
1033	3158	588	1	1810	1519	2
1035	1131	333	679	2036	1385	1
1038	959	724	741	2397	1610	1
1039	1260	606	729	2667	1521	1
1040	1454	654	531	2871	1403	1
1041	1445	508	814	2914	1443	1
1045	902	602	649	2909	1533	1
1046	1383	649	1131	2565	1751	1
1048	1142	272	522	3251	1350	1
1049	1310	395	463	2582	1389	1
1050	1386	597	944	2530	1297	1
1051	857	566	1181	2575	1518	1
1053	1480	708	212	2661	1709	1
1055	1233	687	1343	2760	1560	1
1057	1565	413	1780	2741	1487	1
1058	1037	619	724	1498	1533	1
1059	2813	836	285	1582	1738	2
1060	1086	760	641	1990	1581	1
1061	3055	1511	162	2199	1903	2
1062	1050	671	671	2738	1463	1
1063	1528	463	623	2236	1542	1
1064	2942	1339	187	1869	1650	2
1065	1	1151	3381	3384	1643	1
1068	3221	1176	183	2007	1160	2
1069	2646	1354	170	1218	1573	2
1070	3096	1513	477	2078	2055	2
1071	1389	662	1066	2607	1325	1
1072	1258	832	477	2652	1707	1
1074	2737	1438	34	1888	1307	2
1075	1499	566	983	2892	1393	1
1077	3006	687	229	1876	1170	2
1081	1725	146	422	2821	1528	1
1084	3272	1670	1	2393	1865	2
1085	3096	1413	134	2131	1464	2
1087	1045	821	126	2071	1704	1
1088	1292	679	1524	2579	1260	1
1089	1733	575	737	2275	1511	1
1090	1007	495	662	2637	1492	1
1092	1636	566	645	3013	1503	1
1094	1138	495	854	2717	1632	1
1096	3179	1265	1	2315	1908	2
1098	1738	606	553	2548	1472	1
1100	2855	1334	1	925	1350	2
1102	3295	1053	1	1101	1490	2
1103	1669	495	431	3031	1414	1
1104	1328	459	944	3061	1352	1
1105	1483	526	526	2834	1260	1
1107	1541	517	814	2813	1538	1
1108	2876	1419	320	2135	1691	2
1110	1575	972	1481	2139	1814	1
1111	3289	1552	1	934	1359	2
1112	1449	477	654	2163	1253	1
1114	1516	619	975	3220	1640	1
1118	1307	504	623	2853	1616	1
1120	1679	544	544	2791	1595	1
1121	2964	977	146	1564	1310	2
1122	1055	454	760	1490	1469	1
1124	977	553	360	2519	1419	1
1126	2883	436	1	1929	1559	2
1131	1201	623	391	1361	1590	1
1132	3075	1461	1	2467	1804	2
1134	1276	549	737	2631	1393	1
1135	1265	671	803	2487	1327	1
1136	1370	440	1347	2246	1439	1
1137	1	15	3338	2586	1583	1
1140	934	597	619	2115	1596	1
1142	1526	490	377	3067	918	1
1144	3128	1187	1	2240	1835	2
1145	2446	1664	267	2303	1571	2
1146	1505	481	522	2882	1600	1
1148	1045	513	733	2329	1475	1
1149	882	662	791	2790	1499	1
1150	1308	619	1224	2734	1659	1
1151	3086	1185	571	1908	1469	2
1152	1498	526	422	2895	1441	1
1153	2948	1037	832	1886	1535	2
1155	1417	504	861	2565	1434	1
1156	1500	540	391	2864	1096	1
1157	1395	733	490	2795	1347	1
1160	3329	2147	1	418	1647	2
1163	3188	1434	162	2369	1745	2
1164	1071	413	679	2529	950	1
1166	3122	1767	187	2253	1929	2
1167	1532	454	311	2422	1305	1
1172	1663	889	1621	2592	1718	1
1173	1713	986	1122	1926	1878	1
1175	1310	666	584	2959	1473	1
1176	3228	1641	166	2022	1595	2
1177	2913	1317	212	1863	1302	2
1178	3132	745	280	1944	1424	2
1179	1391	342	861	2800	1468	1
1182	1601	495	1119	2393	1579	1
1184	1428	540	628	2367	1183	1
1189	1632	562	610	2282	1557	1
1190	1181	749	400	1983	1562	1
1191	938	649	998	3078	1597	1
1195	3155	1166	126	2100	1931	2
1196	1759	400	885	2102	1595	1
1197	3420	1833	1	1817	1842	2
1200	1071	810	784	2938	1686	1
1202	3058	1606	544	2482	1590	2
1211	704	418	2407	1544	1467	1
1212	1590	610	1443	2653	1382	1
1213	1255	662	745	2578	1083	1
1214	1140	333	610	3135	1475	1
1215	1490	566	885	3152	1340	1
1216	1399	526	772	2332	1668	1
1217	3200	1396	110	2186	1825	2
1218	1478	666	422	2016	1307	1
1222	3283	1053	445	2077	1680	2
1226	1499	645	641	2511	1435	1
1229	2830	1518	1	1885	1604	2
1230	1147	666	836	2512	1557	1
1233	3140	395	98	553	1577	2
1234	3483	531	1	391	1851	2
1235	1441	440	1029	3079	1489	1
1237	1759	737	972	2493	1564	1
1238	3072	1007	1	1951	1873	2
1240	1429	360	641	3259	1522	1
1242	3240	1239	110	2173	1903	2
1243	3351	737	1	1	1618	2
1245	3377	854	1	1982	1451	2
1250	1319	472	928	2716	1548	1
1251	1542	267	293	2923	1423	1
1252	1693	584	315	2702	1533	1
1253	3313	1083	1	1992	1599	2
1255	1233	768	593	2520	1404	1
1257	1061	289	2170	2395	1205	1
1259	3114	1410	1	1767	1410	2
1261	1360	724	486	1993	1599	1
1262	1546	818	1083	2058	1507	1
1263	3311	1799	1	2314	2024	2
1265	1336	298	557	2907	980	1
1266	1126	298	989	2856	1403	1
1267	1248	463	409	2144	1699	1
1269	3185	1224	250	2027	1628	2
1271	1379	956	1144	2344	1724	1
1272	2590	1242	254	1902	1531	2
1274	2880	1248	216	2300	1606	2
1275	909	459	992	3097	1479	1
1277	3181	1453	1	2130	1393	2
1279	791	584	654	2107	1176	1
1282	1242	641	632	2823	1526	1
1284	2446	1322	540	1915	1458	2
1286	2789	636	1	1055	1871	2
1288	1115	302	636	2252	1353	1
1290	1153	522	619	2945	1390	1
1291	2627	645	242	1891	1639	2
1292	1284	364	522	2378	1620	1
1295	3106	928	1	1921	1577	2
1296	1605	628	756	2576	1460	1
1298	1330	179	675	2730	1458	1
1302	1657	593	1160	2918	1488	1
1303	1539	454	302	2734	1486	1
1304	1135	468	658	2702	1540	1
1306	1415	431	179	2664	1404	1
1307	3100	1195	445	1992	1922	2
1308	1322	671	2164	2233	1471	1
1309	1457	733	549	2553	1147	1
1311	1721	468	788	3205	1235	1
1312	1628	575	418	3005	1450	1
1313	1434	504	351	2332	1450	1
1316	1493	593	463	2623	1327	1
1318	3248	1284	1	2096	1402	2
1321	1063	540	619	2425	1668	1
1322	1383	463	704	2689	1419	1
1325	3221	1560	1	1976	1375	2
1326	3249	562	1	1842	1524	2
1327	3385	1083	12	1845	1497	2
1328	1439	696	840	2707	1608	1
1331	3084	1565	724	2104	1868	2
1332	1622	513	413	2857	1525	1
1333	1647	557	696	2815	1604	1
1334	1494	400	772	2643	1554	1
1335	776	445	700	2197	1710	1
1336	636	562	440	3140	1610	1
1338	818	535	788	2014	1616	1
1339	814	645	737	1766	1517	1
1341	3393	1497	1	1112	2286	2
1342	3079	1350	34	1981	1563	2
1343	1502	623	122	3080	1489	1
1345	756	463	645	2177	1461	1
1346	1473	764	965	2693	1492	1
1347	912	346	645	2365	1228	1
1348	953	454	772	2779	1531	1
1350	3107	1908	183	2221	1655	2
1352	1233	504	909	3100	1517	1
1353	2785	1438	130	1705	1492	2
1354	1399	557	843	2639	1543	1
1356	1475	463	549	2754	1233	1
1357	1101	593	298	2596	1289	1
1358	1409	499	882	1909	1619	1
1359	2869	1185	122	2145	1666	2
1360	1669	885	788	2582	1712	1
1365	1324	696	1804	2494	1693	1
1366	962	602	575	2904	1509	1
1368	704	666	864	2791	1341	1
1369	1218	580	905	2582	1375	1
1371	3099	1197	41	2232	1688	2
1376	760	741	687	2206	1600	1
1377	1258	741	2248	2633	1387	1
1379	3066	989	175	1786	1580	2
1381	3429	1647	1	2417	1835	2
1382	986	463	938	2345	1545	1
1384	3447	1586	1	2634	1961	2
1385	1740	619	1596	2682	1607	1
1387	3440	1187	1	2042	2151	2
1388	1485	687	1174	2509	1709	1
1389	1185	636	463	1205	1462	1
1390	1255	700	571	2328	1573	1
1393	1390	400	632	2495	1402	1
1394	3367	2114	1	1	1698	2
1397	2602	544	1964	3097	1168	1
1400	1729	413	233	3083	1558	1
1402	3120	1614	229	1757	1249	2
1403	878	427	784	2323	1352	1
1404	1634	531	302	3097	1476	1
1407	1361	495	584	2675	1484	1
1408	3415	1565	1	2057	1779	2
1410	3142	1319	619	1875	1634	2
1413	3280	799	1	2155	1680	2
1414	1631	517	404	3145	1565	1
1415	1115	440	628	2220	1492	1
1418	1437	623	1700	2912	1530	1
1420	1498	449	1042	3190	1639	1
1423	1567	692	254	2805	1420	1
1426	593	418	1138	2994	1634	1
1429	3140	1613	1	2040	1958	2
1434	3149	1715	1	2096	1367	2
1435	737	526	716	2384	1428	1
1436	1308	821	683	2749	1735	1
1438	1788	700	799	2540	1430	1
1440	1098	636	641	1428	1623	1
1443	3128	1707	1	1603	1572	2
1444	2938	1193	259	1443	1695	2
1445	2645	1766	675	1527	1425	2
1446	1600	700	902	2267	1579	1
1447	1418	571	351	2717	1264	1
1451	821	522	700	2691	1339	1
1452	1386	580	293	2479	1577	1
1457	1172	540	580	2510	1344	1
1462	3259	1452	49	2008	1934	2
