CD14	CD23	CD3	CD19	id
168	216	587	254	7
199	212	235	225	5
265	191	290	215	4
30	75	595	286	7
338	245	258	182	4
94	103	553	191	7
115	544	49	472	2
81	145	563	173	7
188	221	278	174	4
71	118	427	211	7
191	246	298	314	5
97	0	562	280	7
166	281	258	227	5
226	334	283	349	8
117	0	527	234	7
27	192	585	277	7
127	216	595	183	7
256	240	290	260	5
640	257	182	177	6
156	7	553	246	7
248	313	344	312	8
277	354	353	358	8
611	46	148	310	6
143	202	546	177	7
154	286	186	197	4
129	0	536	157	7
163	181	223	91	1
201	281	317	256	5
91	138	479	156	7
110	0	514	185	7
592	122	242	212	6
30	139	136	218	1
156	286	260	234	5
646	140	228	262	6
237	250	524	200	7
44	609	126	463	2
217	243	201	226	5
116	105	550	325	7
52	222	513	120	7
227	265	300	313	5
134	184	553	279	7
281	236	251	222	4
110	209	114	111	1
0	0	611	344	7
460	508	467	616	3
107	273	221	564	2
416	239	232	176	4
226	341	292	285	8
182	311	255	153	4
300	305	321	239	8
394	491	650	378	9
97	175	552	313	7
0	0	546	124	7
264	317	354	352	8
559	219	275	293	6
214	326	272	350	8
212	292	285	258	5
157	120	565	262	7
69	86	565	217	7
148	305	247	120	4
144	253	373	261	5
207	191	154	161	1
85	190	561	156	7
138	48	536	152	7
249	324	283	310	8
641	257	271	300	6
130	189	543	293	7
209	283	295	252	5
253	268	287	279	8
123	118	582	290	7
212	251	106	544	2
306	324	276	313	8
11	132	513	240	7
128	219	458	175	7
134	316	274	272	5
254	353	367	225	8
169	293	265	224	4
122	70	569	161	7
128	200	512	207	7
76	42	447	29	7
223	322	314	256	8
195	151	529	205	7
159	149	596	328	7
183	259	261	274	5
202	142	592	224	7
349	469	355	337	8
61	169	565	106	7
101	233	542	0	7
205	234	622	285	7
251	353	291	295	8
0	254	562	232	7
272	326	356	235	8
43	199	544	289	7
93	646	31	439	2
209	278	135	109	4
14	73	578	232	7
131	123	528	147	7
0	174	477	229	7
119	162	609	288	7
149	218	296	274	5
223	91	550	244	7
97	76	574	248	7
216	141	498	236	7
126	223	230	240	5
275	270	260	306	8
272	315	299	294	8
213	266	337	194	4
237	286	320	245	8
214	198	157	180	1
50	142	589	226	7
160	123	540	137	7
129	80	576	235	7
67	135	533	293	7
207	329	268	298	8
275	205	304	266	5
103	203	574	231	7
143	60	502	269	7
251	315	256	320	8
567	577	459	416	9
515	572	404	360	9
155	303	284	277	5
642	65	267	246	6
194	272	300	115	4
64	112	180	0	1
188	208	518	168	7
136	215	535	216	7
227	214	247	211	4
136	147	141	172	1
90	98	590	311	7
88	521	82	490	2
500	541	479	354	9
198	306	303	259	8
67	147	584	260	7
113	258	187	155	1
42	384	168	320	2
624	164	246	149	6
237	306	328	313	8
54	24	622	265	7
110	0	523	255	7
224	237	555	267	7
260	196	290	278	5
150	0	483	91	7
238	317	265	197	4
624	140	297	287	6
166	251	186	263	5
655	217	205	299	6
210	101	487	267	7
405	447	436	525	3
225	310	292	294	8
280	295	293	214	4
222	183	303	163	4
0	245	576	286	7
86	125	567	276	7
224	338	258	80	4
136	200	559	267	7
251	250	273	208	4
147	0	65	161	1
405	457	399	584	3
206	256	214	259	5
129	230	201	304	5
154	173	142	58	1
0	156	596	202	7
212	293	244	260	5
255	333	206	203	4
170	282	310	220	4
102	10	531	189	7
137	268	289	281	5
266	257	271	295	8
178	0	564	177	7
231	299	303	231	4
82	506	136	483	2
174	292	295	150	4
89	77	500	289	7
253	268	215	168	4
231	290	243	245	5
43	287	111	187	1
101	131	428	60	7
184	193	275	176	4
156	219	596	312	7
153	92	185	144	1
108	0	508	186	7
212	309	323	150	4
253	245	306	235	4
99	100	568	263	7
13	169	575	288	7
215	259	265	300	5
60	43	614	126	7
90	199	613	346	7
637	280	121	249	6
144	276	286	242	5
139	150	154	158	1
624	188	256	258	6
211	206	591	220	7
59	44	220	121	1
179	334	299	260	8
526	562	444	405	9
93	127	585	275	7
181	262	252	289	5
56	126	466	192	7
211	293	332	281	8
241	282	286	271	8
146	57	582	262	7
241	305	270	291	8
255	382	295	315	8
627	0	257	156	6
86	521	177	469	2
0	214	637	294	7
250	209	223	280	5
214	206	258	138	4
59	174	481	173	7
599	140	248	256	6
151	264	627	342	7
168	166	553	270	7
293	89	206	157	1
501	169	280	306	6
50	229	552	101	7
198	385	285	334	8
230	322	271	256	8
173	275	258	256	5
246	238	208	270	5
115	266	132	237	5
206	333	299	254	8
86	151	584	268	7
288	204	264	295	5
420	453	393	407	3
306	408	379	376	8
122	227	185	125	1
123	45	640	352	7
243	289	256	271	8
63	255	165	207	1
615	339	366	359	6
41	40	531	38	7
185	213	454	150	7
150	255	550	252	7
123	75	506	148	7
282	190	274	227	4
613	0	106	273	6
73	224	391	209	7
0	175	538	249	7
148	243	559	211	7
287	239	316	217	4
192	282	219	267	5
131	656	175	560	2
216	290	251	252	5
117	0	559	215	7
92	160	521	252	7
83	343	284	270	5
285	318	333	302	8
0	0	555	192	7
64	194	587	328	7
405	477	453	568	3
301	317	322	201	8
205	305	166	214	4
635	318	142	270	6
597	0	288	285	6
194	119	560	303	7
112	130	601	283	7
166	263	259	286	5
97	202	233	130	1
5	553	199	523	2
132	105	468	170	7
83	262	187	537	2
271	311	215	106	4
222	267	335	324	8
126	106	97	189	1
793	720	627	440	9
181	225	585	177	7
180	292	329	268	5
142	200	53	58	1
130	319	303	198	4
135	256	155	102	1
125	165	607	185	7
133	40	404	114	7
74	67	536	284	7
186	241	560	192	7
177	187	611	276	7
83	294	28	528	2
138	58	589	202	7
142	273	245	272	5
675	691	598	513	9
35	157	531	230	7
0	0	503	264	7
112	62	535	220	7
185	124	591	196	7
143	105	514	240	7
207	467	227	290	8
419	467	443	634	3
181	267	546	321	7
312	312	304	202	8
255	296	346	209	4
123	0	107	261	1
210	253	284	329	5
215	200	262	248	5
77	118	581	0	7
173	214	266	242	5
166	101	494	214	7
215	220	254	222	5
48	127	576	185	7
248	265	244	303	5
150	35	515	179	7
151	61	550	220	7
88	159	581	276	7
213	205	9	199	1
108	120	90	173	1
121	741	206	299	2
485	598	430	448	9
150	191	598	231	7
97	163	577	309	7
173	118	519	203	7
124	289	119	235	5
109	80	542	187	7
260	271	281	326	8
215	338	232	111	4
153	101	573	150	7
232	252	275	181	4
249	292	187	244	5
40	100	207	179	1
185	219	550	265	7
176	325	307	160	4
568	581	447	441	9
139	131	551	156	7
198	289	294	300	5
470	343	263	333	8
261	354	349	331	8
414	459	392	406	3
252	188	291	243	5
107	44	528	96	7
148	446	102	490	2
269	312	306	313	8
89	105	572	204	7
327	410	359	376	8
201	158	528	211	7
470	188	338	308	6
23	0	555	267	7
60	28	539	185	7
174	232	531	207	7
101	211	169	81	1
542	369	346	350	6
137	146	639	280	7
232	314	201	295	5
232	278	280	224	4
262	96	256	238	5
666	206	258	232	6
294	270	301	211	4
123	271	201	136	4
175	0	477	248	7
244	272	298	222	4
76	153	668	210	7
224	211	297	291	5
173	117	174	94	1
63	112	538	266	7
118	185	51	510	2
136	248	578	270	7
61	134	611	326	7
603	323	292	318	6
286	340	291	243	8
68	660	176	515	2
192	270	268	356	5
91	436	160	538	2
194	16	588	310	7
274	218	218	259	5
165	97	146	288	1
87	129	524	267	7
112	0	362	46	1
106	69	0	44	1
144	240	551	247	7
152	272	275	253	5
199	253	287	315	5
174	138	598	273	7
63	35	318	190	1
149	224	562	121	7
100	64	495	146	7
7	143	544	213	7
190	251	222	304	5
20	238	535	221	7
121	176	179	222	1
82	181	0	602	2
243	252	285	178	4
175	142	581	264	7
196	275	275	187	4
591	292	276	342	6
304	360	314	266	8
288	409	364	314	8
71	123	553	84	7
253	331	297	236	8
102	296	606	267	7
200	356	300	334	8
119	0	577	294	7
243	195	547	350	7
7	0	328	155	1
283	176	232	234	5
285	221	336	213	4
208	323	245	236	4
225	232	341	239	4
201	193	550	123	7
87	174	523	232	7
69	140	538	206	7
131	210	582	198	7
111	89	522	226	7
236	262	274	234	4
173	217	346	236	5
246	326	300	254	8
117	189	637	291	7
198	249	499	244	7
194	168	245	238	5
193	305	272	210	4
137	639	0	430	2
626	71	274	260	6
197	197	262	112	4
197	82	596	232	7
531	111	333	236	6
210	437	241	259	8
177	237	187	173	4
251	273	340	267	8
178	146	233	309	5
200	312	245	325	5
260	320	304	287	8
137	0	537	152	7
108	176	601	282	7
230	306	276	120	4
103	231	589	221	7
250	210	249	273	5
167	335	284	220	4
193	282	166	243	5
247	302	308	328	8
78	441	26	501	2
195	336	288	187	4
70	111	539	173	7
96	67	602	212	7
61	69	358	244	7
121	237	546	187	7
248	247	303	360	8
130	229	660	343	7
263	373	237	318	8
174	26	590	288	7
249	276	211	41	4
79	129	230	62	1
219	164	222	209	5
120	55	556	213	7
92	6	538	225	7
127	162	528	81	7
229	326	266	326	8
165	129	589	182	7
139	212	547	181	7
200	298	282	228	4
70	136	562	190	7
219	146	325	301	5
73	0	571	112	7
131	98	545	183	7
246	224	206	191	4
172	193	509	168	7
492	137	246	280	6
105	59	547	243	7
165	103	617	285	7
81	0	48	102	1
255	285	311	168	4
808	791	510	460	9
226	237	269	219	4
213	349	603	157	7
60	227	481	107	7
76	6	546	329	7
254	247	618	225	7
167	0	206	212	1
230	224	306	256	5
109	232	250	310	5
55	134	526	277	7
120	94	598	241	7
193	40	519	147	7
240	297	536	267	7
34	95	585	236	7
124	0	587	241	7
35	116	544	240	7
170	270	230	564	2
127	209	307	184	4
167	297	235	280	5
183	269	244	263	5
218	322	336	263	8
305	317	296	165	4
277	217	239	316	5
301	321	350	331	8
171	213	269	218	5
458	527	567	436	9
231	272	340	126	4
138	139	617	285	7
596	58	187	272	6
75	223	362	254	5
134	201	610	274	7
93	160	215	168	1
83	27	560	184	7
102	215	553	98	7
176	49	568	267	7
156	161	562	238	7
71	558	0	452	2
458	367	320	296	8
210	168	238	223	5
385	470	411	401	3
118	116	604	216	7
139	223	547	263	7
215	353	272	302	8
207	245	133	277	5
245	269	271	304	5
225	268	275	267	5
164	298	268	272	5
164	0	608	322	7
218	315	226	83	4
257	106	215	137	1
238	150	474	115	7
230	212	287	92	4
71	0	587	259	7
76	112	517	262	7
243	308	292	286	8
245	284	263	238	4
141	204	306	207	5
643	260	274	303	6
30	139	572	292	7
654	91	231	270	6
260	372	369	192	8
243	298	278	219	4
235	276	547	294	7
168	214	114	39	1
112	57	555	273	7
135	140	535	221	7
216	229	226	188	4
103	151	547	272	7
68	154	569	242	7
210	316	264	299	8
173	136	471	245	7
176	325	255	224	4
136	190	532	185	7
261	245	309	248	8
25	75	82	155	1
58	134	600	310	7
96	145	517	264	7
25	165	524	184	7
718	155	348	258	6
239	292	323	219	4
629	167	263	251	6
678	405	361	325	6
106	159	568	311	7
236	273	300	191	4
217	150	578	237	7
139	175	169	217	1
203	288	329	276	8
195	176	264	207	5
208	163	176	165	1
123	225	562	272	7
111	0	408	152	7
608	124	179	272	6
213	218	204	138	4
203	266	277	326	5
232	144	604	334	7
94	130	566	199	7
79	111	553	267	7
50	35	504	237	7
290	251	311	206	4
143	260	288	206	4
134	141	531	244	7
181	148	621	218	7
98	183	200	542	5
81	96	600	293	7
326	261	298	284	8
200	477	274	267	8
195	244	309	257	5
190	148	313	77	4
256	289	174	204	4
228	341	301	267	8
115	192	564	259	7
117	198	478	194	7
91	132	605	270	7
56	5	613	297	7
248	308	265	183	4
182	307	281	320	5
102	108	518	225	7
106	0	561	242	7
292	289	268	300	8
149	256	582	236	7
176	183	552	347	7
13	85	561	235	7
67	79	269	60	1
139	257	270	317	5
660	230	369	344	6
447	356	263	98	4
140	250	564	254	7
286	322	280	212	8
318	255	302	0	4
172	307	231	206	4
240	208	277	267	5
140	69	622	254	7
235	285	315	312	8
147	209	142	247	5
196	346	322	215	4
624	91	273	215	6
176	355	331	298	8
258	270	323	197	4
114	237	500	230	7
134	49	492	226	7
235	210	274	155	4
32	69	604	213	7
104	217	579	243	7
34	193	507	169	7
225	237	318	189	4
147	135	571	323	7
247	246	285	175	4
120	78	531	221	7
180	176	507	216	7
247	338	228	283	8
286	239	182	271	5
83	195	491	224	7
247	281	282	257	8
53	0	326	179	1
268	246	262	103	4
134	183	510	113	7
133	297	207	303	5
110	183	527	275	7
36	173	633	291	7
143	192	547	132	7
137	184	548	247	7
155	291	232	77	4
194	318	276	310	5
260	290	348	276	8
114	190	504	7	7
314	311	281	248	8
264	146	266	200	4
208	98	252	271	5
236	338	300	260	8
83	177	0	264	1
130	657	136	453	2
254	246	282	256	5
476	255	171	352	6
83	154	554	196	7
122	309	85	220	5
142	179	564	114	7
70	159	621	255	7
131	196	632	306	7
79	183	391	315	7
154	72	546	255	7
82	98	558	249	7
170	220	528	271	7
17	203	546	275	7
186	217	166	253	5
172	301	262	271	5
178	333	325	230	4
130	252	128	62	1
669	239	379	370	6
100	0	558	288	7
233	261	298	249	5
72	231	129	135	1
145	24	148	154	1
218	227	292	274	5
30	514	0	453	2
0	126	359	0	1
204	278	566	307	7
186	302	207	282	5
124	208	549	205	7
113	108	90	155	1
274	303	243	219	4
160	309	321	314	5
145	134	576	241	7
109	99	563	238	7
283	263	272	321	8
170	91	469	178	7
126	135	567	216	7
57	101	524	298	7
150	177	396	229	7
420	328	298	288	8
213	344	316	278	8
198	304	252	170	4
266	330	259	277	8
181	319	230	336	5
603	309	253	206	6
215	318	348	310	8
82	169	562	42	7
43	133	560	284	7
479	247	237	171	6
194	222	209	267	5
112	77	562	314	7
58	227	620	333	7
390	460	424	559	3
157	105	516	219	7
630	475	461	628	3
135	0	360	0	1
148	333	255	330	5
708	801	573	537	9
330	207	265	227	4
240	328	307	252	8
260	328	262	309	8
133	65	603	252	7
202	302	246	263	5
249	254	288	248	5
112	115	473	237	7
185	269	511	130	7
217	304	286	293	8
181	245	242	301	5
161	189	247	274	5
205	211	313	193	4
81	255	586	323	7
161	361	260	176	4
95	190	182	80	1
141	216	393	211	4
101	472	102	529	2
325	349	155	280	8
236	363	296	283	8
145	282	248	201	4
75	161	375	165	7
92	59	552	176	7
286	307	284	257	8
56	242	524	170	7
123	289	523	178	7
139	392	0	464	2
114	129	551	290	7
85	76	591	147	7
249	304	256	165	4
201	350	260	249	8
119	0	589	156	7
214	160	265	262	5
63	39	564	256	7
69	188	157	203	1
39	522	0	445	2
266	293	320	246	8
130	153	112	206	1
162	168	25	82	1
68	306	221	186	4
107	160	643	240	7
269	305	251	250	8
219	290	285	300	8
101	236	513	162	7
120	327	216	210	4
278	295	583	289	7
166	324	307	244	4
8	120	566	258	7
210	200	254	218	5
185	271	291	221	4
244	330	266	274	8
0	499	178	509	2
152	61	542	278	7
163	284	276	276	5
604	175	180	103	6
187	302	243	296	5
236	192	283	272	5
0	347	0	519	2
148	203	262	131	4
263	278	276	196	4
71	124	493	222	7
44	263	570	195	7
222	336	245	301	8
152	168	600	340	7
156	330	243	277	5
66	145	131	172	1
218	241	291	227	4
165	297	270	252	5
145	234	590	323	7
192	214	617	239	7
106	607	71	456	2
179	108	132	153	1
169	345	308	248	8
157	9	562	250	7
100	218	612	262	7
114	249	244	298	5
103	194	208	124	1
290	339	261	153	4
553	568	452	440	9
101	263	0	583	2
76	90	613	318	7
199	183	546	259	7
211	299	331	319	8
119	275	176	202	5
73	136	547	167	7
123	176	529	295	7
206	287	309	269	5
229	289	253	187	4
690	690	563	445	9
373	429	377	426	3
141	264	539	251	7
0	231	572	280	7
144	173	397	223	7
319	288	277	284	8
252	263	254	294	5
141	593	119	489	2
129	155	587	249	7
673	84	225	287	6
285	349	331	337	8
179	303	205	202	4
176	0	553	252	7
228	242	287	244	5
139	228	559	191	7
146	248	63	551	2
99	227	581	282	7
246	259	303	263	8
274	304	337	277	8
116	107	628	304	7
141	209	285	152	4
92	493	172	560	2
348	297	319	298	8
278	263	301	169	4
251	229	282	373	5
292	307	507	327	8
267	284	299	283	8
319	355	345	300	8
16	366	261	262	5
168	160	511	163	7
216	357	299	262	8
171	278	284	222	4
287	286	301	196	4
606	214	251	130	6
286	329	292	172	4
353	301	577	125	7
95	106	539	101	7
55	130	594	32	7
255	324	273	196	4
210	209	259	211	4
619	205	173	140	6
96	128	203	110	1
248	254	301	262	8
102	101	528	250	7
187	183	518	216	7
0	48	549	250	7
36	64	561	271	7
122	108	392	94	7
377	446	397	609	3
185	81	202	244	1
93	206	138	210	1
638	0	230	300	6
0	163	520	316	7
209	252	299	290	5
171	22	550	46	7
301	296	294	210	8
228	243	239	290	5
192	314	277	295	5
121	181	551	277	7
181	222	280	242	5
313	319	265	255	8
151	110	557	187	7
302	256	291	255	8
38	183	525	217	7
245	247	296	322	5
113	123	471	228	7
252	289	280	288	8
93	115	585	310	7
178	252	286	331	5
142	118	561	278	7
64	191	458	252	7
59	263	578	222	7
101	120	543	322	7
266	308	267	284	8
213	277	286	188	4
179	324	259	231	4
71	200	524	209	7
132	105	528	291	7
97	74	591	270	7
170	261	594	268	7
134	132	562	280	7
70	585	85	431	2
146	101	516	232	7
166	331	311	233	4
94	241	558	194	7
0	161	497	193	7
131	149	586	201	7
212	268	575	253	7
0	66	576	263	7
230	272	243	271	5
266	299	300	310	8
205	332	272	216	4
188	286	243	288	5
209	265	288	266	5
420	473	426	575	3
243	277	272	192	4
70	83	605	273	7
221	300	250	230	4
151	353	213	268	5
125	251	301	278	5
255	181	295	250	5
81	72	602	313	7
183	345	230	251	5
180	10	592	313	7
191	119	517	313	7
65	132	538	173	7
52	552	63	516	2
182	267	337	235	4
0	482	77	459	2
156	186	577	333	7
302	216	294	260	8
248	283	257	266	5
60	11	568	230	7
167	13	173	283	1
147	241	587	285	7
66	87	531	119	7
63	0	544	270	7
165	183	612	304	7
423	477	418	367	3
216	304	324	272	8
274	275	265	330	8
167	167	202	216	1
310	236	275	178	4
104	170	567	190	7
155	232	299	270	5
60	175	570	237	7
141	164	623	307	7
142	0	626	245	7
283	306	347	250	8
117	151	436	295	7
155	163	522	236	7
95	113	470	245	7
276	272	283	300	8
290	357	350	299	8
76	178	567	211	7
177	41	501	268	7
683	211	207	290	6
279	366	357	313	8
158	110	504	174	7
239	274	324	189	4
54	158	595	266	7
138	248	210	162	4
99	215	184	299	5
147	242	282	299	5
413	446	419	578	3
68	478	0	516	2
0	693	122	471	2
196	340	267	269	8
205	284	213	112	4
187	270	277	254	5
44	121	507	182	7
363	277	233	183	4
146	213	572	295	7
81	673	0	399	2
254	326	321	248	8
322	245	206	264	5
79	199	511	225	7
96	58	506	260	7
165	560	8	469	2
68	84	130	19	1
25	29	573	199	7
599	253	143	291	6
189	219	548	252	7
106	159	545	247	7
260	270	249	261	5
177	227	227	214	5
33	12	387	165	7
312	355	195	260	8
104	199	559	207	7
215	301	242	210	4
168	252	280	258	5
101	120	355	227	1
272	359	460	253	8
105	124	531	187	7
137	23	590	241	7
138	181	568	281	7
189	213	558	187	7
93	159	530	191	7
112	227	56	521	2
272	200	263	222	4
192	270	318	237	4
639	111	181	274	6
17	112	599	269	7
161	316	285	256	5
224	276	285	325	5
55	135	575	231	7
328	393	554	404	3
209	230	506	182	7
138	195	593	241	7
126	197	4	155	1
229	348	278	294	8
165	212	150	130	1
106	164	562	247	7
147	225	565	254	7
187	246	122	249	5
165	151	304	251	5
79	359	0	475	2
242	304	281	325	8
231	307	263	227	4
611	0	328	203	6
189	367	279	234	4
187	262	243	242	5
233	255	265	253	5
111	232	243	292	5
256	319	520	280	8
345	295	321	302	8
245	308	294	205	4
266	326	289	262	8
104	269	570	302	7
141	194	632	271	7
119	201	551	208	7
142	295	260	291	5
32	215	499	250	7
43	208	534	289	7
256	214	271	294	5
52	90	90	204	1
193	71	619	207	7
47	100	550	167	7
394	429	440	621	3
377	334	205	242	8
276	324	292	209	8
104	86	122	558	5
173	275	244	248	5
327	203	160	264	5
180	232	307	242	5
246	319	312	322	8
152	82	568	235	7
162	220	546	252	7
145	149	525	205	7
589	0	236	179	6
154	83	544	271	7
651	120	79	196	6
177	315	281	276	5
158	129	88	156	1
454	424	337	397	3
138	0	560	259	7
106	46	560	286	7
74	228	629	225	7
155	269	266	279	5
58	134	530	241	7
183	78	535	201	7
197	280	265	284	5
131	255	569	191	7
256	287	312	238	8
119	106	535	227	7
100	312	313	159	4
235	330	296	245	8
115	412	0	532	2
181	135	548	222	7
83	74	551	212	7
210	257	275	211	4
207	277	233	254	5
83	197	11	158	1
601	0	180	222	6
151	225	522	263	7
133	206	588	214	7
141	180	149	144	1
133	162	573	212	7
178	193	514	293	7
137	245	276	141	4
4	0	427	212	7
65	0	594	312	7
199	284	209	168	4
154	241	591	210	7
152	212	579	264	7
349	216	273	279	8
206	252	318	228	4
237	317	279	267	8
272	295	303	269	8
234	307	269	265	8
193	200	238	532	5
233	293	308	286	8
146	27	544	283	7
622	286	368	304	6
125	0	640	207	7
130	310	223	212	4
177	321	261	22	4
138	39	530	209	7
429	569	376	409	9
10	134	538	317	7
222	269	228	158	4
219	213	286	263	5
124	248	562	287	7
157	249	296	264	5
222	226	286	302	5
127	0	545	329	7
170	250	486	100	7
0	212	542	345	7
85	181	554	245	7
69	0	533	229	7
604	8	289	153	6
128	297	27	550	2
286	419	281	341	8
489	654	479	409	9
265	314	222	242	4
133	669	38	518	2
142	209	582	204	7
286	325	244	312	8
209	204	411	0	4
0	9	504	160	7
261	350	327	269	8
161	0	381	244	7
41	82	114	140	1
350	435	544	324	3
648	22	266	178	6
212	206	171	282	5
149	71	103	226	1
148	231	247	250	5
280	349	232	237	8
201	312	286	227	4
241	159	271	98	4
160	122	539	205	7
99	413	162	352	2
245	298	262	290	8
111	253	70	268	5
136	181	578	205	7
114	334	264	264	5
154	186	366	224	5
47	141	183	136	1
87	269	256	134	4
0	650	11	465	2
224	284	251	259	5
152	158	564	225	7
236	330	333	339	8
375	428	415	392	3
232	327	304	234	8
219	281	233	231	4
241	194	98	38	1
167	241	214	170	4
496	96	247	294	6
140	252	547	14	7
128	200	405	95	4
62	157	620	219	7
240	292	284	275	8
550	0	282	255	6
339	423	393	339	8
136	206	499	133	7
57	163	579	231	7
112	35	343	0	1
44	0	553	178	7
101	51	154	556	5
221	282	255	253	5
619	397	369	320	6
193	258	328	211	4
295	230	258	263	5
493	527	470	355	9
127	165	594	320	7
153	201	520	237	7
157	309	233	226	4
83	171	580	340	7
587	227	243	256	6
121	159	524	274	7
221	310	274	306	8
0	198	497	224	7
651	0	197	265	6
236	277	224	287	5
143	155	526	224	7
103	0	561	289	7
114	622	28	485	2
168	215	519	216	7
197	224	260	302	5
157	204	576	305	7
72	140	142	149	1
242	292	338	306	8
152	144	524	259	7
55	0	574	244	7
561	185	299	274	6
622	180	173	239	6
109	0	450	201	7
124	111	615	295	7
60	609	100	425	2
44	142	563	220	7
192	305	316	331	8
161	0	528	243	7
63	160	589	229	7
139	239	556	268	7
96	213	519	163	7
64	163	562	305	7
637	265	217	297	6
287	266	246	274	8
103	159	572	323	7
196	255	607	311	7
148	47	651	308	7
275	319	352	301	8
556	0	159	261	6
119	219	183	78	1
29	111	459	227	7
103	90	556	99	7
128	175	560	177	7
178	220	536	191	7
176	206	543	252	7
158	162	567	209	7
205	268	569	101	7
613	233	245	277	6
0	236	574	241	7
301	359	322	315	8
183	294	316	205	4
162	8	655	257	7
644	111	295	180	6
200	262	232	295	5
602	0	231	164	6
142	116	581	136	7
138	149	53	185	1
179	162	279	157	4
106	253	297	273	5
166	219	249	278	5
498	486	266	217	8
226	145	315	267	5
161	159	586	240	7
101	98	525	241	7
138	414	281	310	8
265	262	338	276	8
154	226	593	260	7
136	304	244	271	5
352	420	384	332	8
153	224	583	253	7
36	236	567	152	7
256	318	297	263	8
229	271	298	261	5
82	321	274	265	5
133	150	591	242	7
75	182	547	170	7
32	228	561	118	7
